                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62451,                 0.6342,                 1.1437,                0.97476,                0.99495,                0.98471,                0.86499,                0.53712,                0.55726,                0.96013,              0.0006634,              0.0006634,              0.0006634
                     36,                0.60529,                0.61479,                 1.1354,                0.98007,                0.99167,                0.98028,                0.85919,                0.60008,                 0.5739,                 1.0127,              0.0006535,              0.0006535,              0.0006535
                     37,                0.61847,                0.58123,                 1.1354,                0.97183,                 0.9735,                0.98163,                0.85416,                0.62567,                0.61569,                  1.029,              0.0006436,              0.0006436,              0.0006436
                     38,                0.61725,                0.58822,                 1.1579,                0.97261,                 0.9899,                0.98134,                0.85668,                0.60594,                0.56966,                 1.0361,              0.0006337,              0.0006337,              0.0006337
                     39,                0.58672,                0.59052,                 1.1475,                0.97442,                0.98706,                0.98225,                0.87351,                0.57747,                0.55518,                0.99872,              0.0006238,              0.0006238,              0.0006238
                     40,                0.58255,                 0.5703,                 1.1219,                0.97495,                0.98949,                0.98165,                 0.8652,                0.58445,                0.54682,                 1.0096,              0.0006139,              0.0006139,              0.0006139
                     41,                  0.621,                0.54959,                 1.1447,                0.96898,                0.98692,                0.98203,                0.85431,                0.59196,                0.54896,                 1.0008,               0.000604,               0.000604,               0.000604
                     42,                0.58358,                0.54618,                 1.1235,                0.97566,                0.99495,                0.98861,                0.87217,                0.56509,                0.52497,                0.96644,              0.0005941,              0.0005941,              0.0005941
                     43,                0.59396,                0.54667,                 1.1354,                0.97384,                0.99495,                0.98341,                0.86057,                0.54235,                0.53061,                0.95779,              0.0005842,              0.0005842,              0.0005842
                     44,                0.58126,                0.54493,                 1.1281,                  0.968,                0.99495,                0.98709,                0.86585,                0.57845,                0.52224,                0.99116,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.5963,                0.52659,                 1.1312,                0.97216,                0.99495,                0.98694,                0.87658,                0.55525,                 0.4964,                0.97492,              0.0005644,              0.0005644,              0.0005644
                     46,                0.55638,                0.55966,                 1.1194,                0.96968,                 0.9941,                0.98728,                0.87074,                0.54863,                 0.4751,                0.96133,              0.0005545,              0.0005545,              0.0005545
                     47,                0.58489,                0.58013,                 1.1421,                0.96886,                0.99495,                0.99033,                0.87434,                 0.5912,                0.52737,                0.98835,              0.0005446,              0.0005446,              0.0005446
                     48,                  0.586,                0.52488,                 1.1211,                0.96675,                0.99495,                0.98916,                0.86592,                0.57751,                0.50537,                0.98874,              0.0005347,              0.0005347,              0.0005347
                     49,                0.58804,                0.51513,                 1.1247,                0.96529,                0.99327,                0.98802,                0.88316,                0.55528,                0.49785,                0.96024,              0.0005248,              0.0005248,              0.0005248
                     50,                0.59496,                0.49979,                 1.1301,                0.96432,                0.99076,                0.98474,                0.85885,                0.61693,                0.50282,                 1.0046,              0.0005149,              0.0005149,              0.0005149
                     51,                0.56259,                0.48127,                 1.1073,                 0.9691,                0.99495,                0.98865,                0.87985,                0.56519,                0.46624,                0.99212,               0.000505,               0.000505,               0.000505
                     52,                0.57621,                0.49587,                 1.1225,                0.97583,                0.99495,                0.98656,                0.88375,                0.57603,                0.47205,                0.99366,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.5851,                0.49127,                 1.1178,                0.96873,                0.99495,                0.98489,                0.87555,                0.55857,                0.45944,                0.97875,              0.0004852,              0.0004852,              0.0004852
                     54,                0.55012,                0.46821,                 1.1098,                0.96673,                0.99495,                 0.9823,                 0.8766,                0.55666,                0.43079,                0.96344,              0.0004753,              0.0004753,              0.0004753
                     55,                0.54878,                0.47617,                 1.1286,                0.97207,                0.99495,                 0.9832,                0.87496,                0.56907,                0.46758,                0.99187,              0.0004654,              0.0004654,              0.0004654
                     56,                0.55719,                0.49487,                 1.1095,                0.96649,                0.99495,                0.98732,                0.87716,                0.57983,                0.50568,                0.99261,              0.0004555,              0.0004555,              0.0004555
                     57,                0.55826,                0.49333,                 1.1005,                0.97612,                0.99495,                0.98696,                0.88157,                0.56038,                 0.4752,                0.96488,              0.0004456,              0.0004456,              0.0004456
                     58,                0.52616,                0.45857,                 1.0877,                 0.9757,                0.99495,                0.98352,                0.86701,                0.56231,                0.46992,                0.97394,              0.0004357,              0.0004357,              0.0004357
                     59,                0.55788,                0.45466,                 1.1018,                0.97397,                0.99402,                0.98625,                0.88265,                 0.5405,                0.45823,                0.96814,              0.0004258,              0.0004258,              0.0004258
                     60,                0.53116,                0.44962,                 1.0842,                0.97309,                0.99495,                0.98504,                0.88365,                0.53129,                  0.433,                0.93935,              0.0004159,              0.0004159,              0.0004159
                     61,                0.54785,                0.45514,                 1.1136,                0.97482,                0.99226,                0.98412,                0.86689,                0.56955,                0.43794,                0.96608,               0.000406,               0.000406,               0.000406
                     62,                0.55525,                 0.4572,                 1.1052,                0.97671,                0.99495,                0.98336,                0.86699,                0.58046,                0.44695,                0.98807,              0.0003961,              0.0003961,              0.0003961
                     63,                0.51232,                0.46608,                 1.0835,                0.97311,                0.99495,                0.98437,                0.88756,                0.54374,                0.41667,                0.94979,              0.0003862,              0.0003862,              0.0003862
                     64,                0.52659,                0.42398,                 1.0825,                0.96563,                0.99495,                0.98256,                0.86891,                0.55328,                0.41166,                0.95823,              0.0003763,              0.0003763,              0.0003763
                     65,                0.53015,                0.43569,                  1.083,                0.96998,                0.99495,                0.98317,                0.87488,                0.55528,                0.40611,                0.96217,              0.0003664,              0.0003664,              0.0003664
                     66,                0.52414,                0.43273,                 1.0897,                0.97226,                0.99495,                0.98086,                 0.8802,                0.56037,                0.43258,                0.97673,              0.0003565,              0.0003565,              0.0003565
                     67,                0.54836,                0.44085,                 1.0967,                 0.9721,                0.99495,                0.98178,                0.88803,                0.53798,                0.44192,                0.96327,              0.0003466,              0.0003466,              0.0003466
                     68,                0.53553,                0.46715,                 1.0915,                0.97519,                0.99495,                0.98309,                0.88097,                0.54659,                0.39321,                0.94198,              0.0003367,              0.0003367,              0.0003367
                     69,                0.52095,                0.40379,                 1.0702,                0.97495,                0.99495,                0.98235,                0.87457,                0.55746,                0.40082,                 0.9668,              0.0003268,              0.0003268,              0.0003268
                     70,                0.51594,                0.41607,                 1.0781,                0.97243,                0.99495,                0.98187,                0.87757,                 0.5614,                0.40782,                0.96079,              0.0003169,              0.0003169,              0.0003169
                     71,                0.52403,                0.42097,                 1.0764,                0.97296,                0.99495,                0.98379,                0.87887,                0.55615,                0.41403,                0.96638,               0.000307,               0.000307,               0.000307
                     72,                0.50127,                0.38999,                 1.0715,                0.97344,                0.99495,                0.98368,                0.88051,                0.57546,                0.42016,                0.98037,              0.0002971,              0.0002971,              0.0002971
                     73,                0.52617,                0.43549,                 1.0773,                0.97818,                0.99495,                 0.9835,                0.88193,                0.56137,                0.39011,                0.96959,              0.0002872,              0.0002872,              0.0002872
                     74,                0.51544,                0.41938,                 1.0865,                0.97608,                0.99495,                0.98382,                0.88875,                0.55702,                0.40791,                0.96625,              0.0002773,              0.0002773,              0.0002773
                     75,                0.49229,                0.41006,                 1.0731,                0.97476,                0.99495,                0.98315,                0.87517,                0.53991,                0.40141,                0.95196,              0.0002674,              0.0002674,              0.0002674
                     76,                0.50061,                0.41289,                 1.0549,                0.96854,                0.99495,                0.98252,                0.88984,                0.51832,                0.39218,                0.93875,              0.0002575,              0.0002575,              0.0002575
                     77,                0.49569,                0.40398,                 1.0601,                0.96642,                0.99495,                 0.9869,                0.88354,                0.52213,                 0.3811,                0.93718,              0.0002476,              0.0002476,              0.0002476
                     78,                0.48701,                0.39623,                 1.0669,                0.97375,                0.99495,                0.98289,                0.87959,                0.53503,                0.39225,                0.95315,              0.0002377,              0.0002377,              0.0002377
